Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Dilution by atmosphere and ecosystems,Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.","Concentration of marine litter, especially plastics.",Micro plastics tend to accumulate on certain coastal areas depending on winds and currents as well as at major oceanic fronts known as gyres.,Natural variation,Long term,Coastal ecosystems
Dilution by atmosphere and ecosystems,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Reduction in dilution service potential.,"Both point and non-point source pollutants results in eutrophication and coastal economic damage, e.g. beach closures.",Human action,Short term,Coastal ecosystems
Dilution by atmosphere and ecosystems,Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,Short term,Global
Dilution by atmosphere and ecosystems,Water,Water abstraction,R,"Water abstraction reduces the amount of water available to support other ecosystem services. Situations of imbalance between demand and availability of water often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase.",Fragmentation of the river system.,Reduced dilution ability as river flow is disrupted. Increased human presence creates more effluent flow exacerbating the problem.,Human action,Short term,Global
Dilution by atmosphere and ecosystems,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Prolonged periods of high pressure with little air movement can lead to temperature inversions (reversal of the normal decrease of air temperature with altitude).,Decrease in air flow reduces dilution effect and leads to accumulation of dust and pollutants.,Natural variation,Short term,Global
Dilution by atmosphere and ecosystems,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,Short term,Global
Disease control,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Forest edges opened up, exposing humans to new diseases from previously uncontacted pathogens",Service provision weakens as there are no factors present for the regulation of the disease transmission cycle,Human action,Short term,Developing countries
Disease control,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, road construction, agricultural encroachment, dam building, irrigation, coastal zone degradation, wetland modification, mining, and urbanisation",Complex and interlinked response in asset-service system. Interruption of the natural regulation of habitat for disease hosts results in increased exposure of humans to infectious disease,Human action,Short-Long term,Global
Disease control,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Policies on human population movements lead to increase in contact between humans and disease hosts,Transmission capacity of disease vectors unregulated by natural habitat and competition therefore disease transmission increased to humans,Human action,Short term,Global
Disease control,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Resistance to biological control measures,"Loss of efficiency of biological control agents against plant pathogens, e.g. fungicide resistance in fungal plant pathogens.",Natural variation,Long term,Global
Disease control,Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Resistance to biological control measures,"Loss of efficiency of biological control agents against plant pathogens, e.g. fungicide resistance in fungal plant pathogens.",Natural variation,Long term,Global
Disease control,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Species (of pathogens or their hosts) range shifts due to change in climate conditions,Usual predator-prey relationships change and harmful species can spread into areas where they are not predated on,Human action,Long term,Global
Disease control,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Species (of pathogens or their hosts) range shifts due to change in climate conditions,Usual predator-prey relationships change and harmful species can spread into areas where they are not predated on,Human action,Long term,Global
Fibres and other materials,Species,Diseases,R,"Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks.","Contamination of manure. Degree of risk influenced by animal species, dietary sources, health status and age of the animals, physical and chemical characteristics of the manure as well as the storage facilities of the manure",Service quality degraded due to contaminated manure creating a health risk to livestock and humans,Natural variation,Short term,Global
Fibres and other materials,Species,Diseases,R,"Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks.",Mortality or severe weakening of the animal,"Service provision impacted by the reduction in livestock, e.g. in 1997, foot and mouth disease caused the destruction of 8 million pigs in Taiwan, costing the economy more than $25 billion.",Natural variation,Short term,Global
Fibres and other materials,Species,Diseases,R,"Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks.","Pathogens spread in favourable climatic conditions, e.g. high humidity and rainfall.",Yield significantly decreased and/or quality of yield compromised due to damage to cereal grain.,Natural variation,Short term,Global
Fibres and other materials,Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Species,Droughts,A,Species are highly susceptible to droughts as most are dependent on water resources for survival. Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100.,"Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Species,Droughts,A,Species are highly susceptible to droughts as most are dependent on water resources for survival. Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100.,"Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Habitats,Fire,R,"In the short term, fires rapidly reduce habitat availability - patches that do remain are often isolated and undesirable. More intense fires change multiple aspects of vegetation structure and soil will be exposed leading to higher rates of erosion. However, fire is a widely used management regime, and restoration of vegetation post-fire can often lead to increases in habitat availability and quality, e.g. through reducing litter and dead vegetation. Fire plays a role in maintaining a diversity of habitats that support species.",There will be a reduction in plant based fibre material post fire and during recovery period.,Imbalances in the fire cycle caused by extreme weather such as drought can create severe fires which affect provision of fibre and other plant based materials.,Natural variation,Long-term,Global
Fibres and other materials,Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Species,Flooding,A,"Floods directly impact species at both population and individual levels. Impacts are variable across species and the most susceptible species to flooding events are freshwater aquatic, sedentary, shallow rooted and ground burrowing species. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Species,Flooding,A,"Floods directly impact species at both population and individual levels. Impacts are variable across species and the most susceptible species to flooding events are freshwater aquatic, sedentary, shallow rooted and ground burrowing species. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Higher water turbidity (from sediment loading) leads to decreased light availability for photosynthesis.,There has been a loss of canopy-forming algae (up to 70 %) on parts of the Adelaide metropolitan coast since major urbanisation.,Human action,Long term,Coastal ecosystems
Fibres and other materials,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",The transition from natural to artificial coastal habitat dramatically changes species diversity while overall species abundance remains the same,Changes in species diversity will alter habitat composition and could introduce unwanted effects for marine algae such as increase in predators or diseases. This will reduce the quantity and quality of quality of algal-based agricultural materials.,Human action,Medium term,Global
Fibres and other materials,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",The supply of wood for pulp and wood ash is decreasing as a result of deforestation and unsustainable logging.,Timber plantations expand into natural forests. Models suggest deforestation over degradation in response to market demands resulting in eventual exhaustion of the supply.,Human action,Short term,Global
Fibres and other materials,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,"This loss can impact on fibre production (e.g., cotton) and other wild sourced fibres as land is consumed for other uses.",Human action,Short-Mid-term,Global
Fibres and other materials,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,This loss can impact on animal material production and as agricultural land is consumed for other uses.,Human action,Short-Mid-term,Global
Fibres and other materials,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,The transition from natural to artificial coastal habitat dramatically changes species diversity while overall species abundance remains the same,Changes in species diversity will alter habitat composition and could introduce unwanted effects for marine algae such as increase in predators or diseases,Human action,Medium term,Global
Fibres and other materials,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,The transition from natural to artificial coastal habitat dramatically changes species diversity while overall species abundance remains the same,Changes in species diversity will alter habitat composition and could introduce unwanted effects for marine algae such as increase in predators or diseases. This will reduce the quantity and quality of quality of algal-based agricultural materials.,Human action,Medium term,Global
Fibres and other materials,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,The supply of wood for pulp and wood ash is decreasing as a result of deforestation and unsustainable logging.,Timber plantations expand into natural forests. Models suggest deforestation over degradation in response to market demands resulting in eventual exhaustion of the supply.,Human action,Short term,Global
Fibres and other materials,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,"This loss can impact on fibre production (e.g., cotton) and other wild sourced fibres as land is consumed for other uses.",Human action,Short-Mid-term,Global
Fibres and other materials,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,This loss can impact on animal material production and as agricultural land is consumed for other uses.,Human action,Short-Mid-term,Global
Fibres and other materials,Species,Human modification of genetic material,R,"The release of genetically modified organisms in the wild can cause changes in species composition. Despite extensive studies on the topic there is uncertainty in the impact on natural species, however, it is more widely believed that the technology will cause negative impacts on species population stability. Human genetic modification of commercial organisms has been increasing over the last two decades and is predicted to continue.",Spills of cultured algae (from aquaculture farms) into natural ecosystems introduces genetic mutations and destroys native algal species in aquatic systems.,The service will be compromised in the long term by introduction of genetic uniformity and mutations.,Human action,Long-term,Aquatic environments
Fibres and other materials,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Higher water turbidity (from sediment loading) leads to decreased light availability for photosynthesis.,There has been a loss of canopy-forming algae (up to 70 %) on parts of the Adelaide metropolitan coast since major urbanisation.,Human action,Long term,Coastal ecosystems
Fibres and other materials,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Lower and poorer quality yields of commercial plant species as soils become exhausted of organic and mineral content.,The provision of vegetable fibres is diminished,Human action,Medium term,Local
Fibres and other materials,Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in numbers.",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Fibres and other materials,Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.","Burrs (seeds that have hooks or teeth) from burr-bearing plants, in wool contaminate fleeces, requiring more complex and expensive removal operations. Leather is also at risk from blowflies.",Service slowed down and more costly at the fleece or leather processing stage.,Natural variation,Short term,Global
Fibres and other materials,Species,Overfishing,A,"Overfishing has significant direct and indirect effects on the diversity, structure and productivity of aquatic communities. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through the complex interactions among species in an ecosystem - both positive and negative.",Marine resources (fishmeal and fish oil in the use of aqua feeds) potentially exhausted by over use and under supply,Poorly nourished fish in aquaculture farms.,Human action,Long-term,Global
Fibres and other materials,Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,"Illegal overexploitation causes population declines in wild animal species, e.g. 95% of respondents to a survey in Madagascar have eaten at least one protected forest animal species (and nearly 45% have eaten more than 10). Legal overexploitationbelow causes population declines in wild animal species but regulated trade cause less extreme changes in wild species populations. ",Reduced species abundance and diversity,Human action,Short term,Global
Fibres and other materials,Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,General unsustainable use for many reasons. Including illegal trade in plant materials / fibre (high value timber for example),The provision of vegetable fibres is diminished,Human action,Short term,Local
Fibres and other materials,Species,Pests,A,"Pests can cause changes to species dynamics. Insect pests can attack plants - delaying seed ripening, reducing seed production and individual seed weights, reducing the rates of shoot and root growth, increasing the susceptibility of plants to disease and reducing the competitive ability of plants relative to their unattacked neighbours. Vertebrate pests can also cause huge economic losses to agriculture. ","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Fibres and other materials,Species,Pests,A,"Pests can cause changes to species dynamics. Insect pests can attack plants - delaying seed ripening, reducing seed production and individual seed weights, reducing the rates of shoot and root growth, increasing the susceptibility of plants to disease and reducing the competitive ability of plants relative to their unattacked neighbours. Vertebrate pests can also cause huge economic losses to agriculture. ",Cellulose is consumed by the larvae of beetles causing serious damage to structural or standing timbers.,Increase in pests (wood-boring beetle) associated with high moisture levels and elevated temperatures causes a decrease in cellulose in softwood timber from temperate environments.,Natural variation,Short term,Local
Fibres and other materials,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Excess nutrient loads and sunlight cause imbalances in micro algae concentrations. Harmful toxins produced by the bloom kill beneficial cyanobacteria.,Any services arising from the algae will be diminished or stopped.,Human action,Short term,Global
Fibres and other materials,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Excess nutrient loads and sunlight cause imbalances in micro algae concentrations. Harmful toxins produced by the bloom kill beneficial cyanobacteria.,Any services arising from the algae will be diminished or stopped.,Human action,Short term,Global
Fibres and other materials,Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Fibres and other materials,Habitats,Sea surface temperature,A,Warm water marine habitats will exhibit a poleward shift with rising sea surface temperatures while terrestrial habitats will be negatively impacted by enhanced extreme climatic events that are linked with sea surface temperatures (e.g. El Nino events). ,Cyclic and fatally bleached sponge tissues had lower chlorophyll a concentrations than non-bleached tissues.,Sponge pieces incubated at 30°C in a lab show mortality after less than 15 hours with impacts on medicinal compound provision.,Human action,Medium term,Warm water coral reef ecosystems
Fibres and other materials,Species,Sea surface temperature,R,"Rising sea surface temperatures can have devastating effects on species such as shallow water corals that experience bleaching or even death due to temprature rises. The destruction of coral reefs, in turn, has an extensive impact on a wide range of species. Further, changes in sea surface temperatures can alter climatic conditions impacting terrestrial and marine species globally through destructive processes (droughts, hurricane etc), altering habitat ranges and ecological niche displacement.",Cyclic and fatally bleached sponge tissues had lower chlorophyll a concentrations than non-bleached tissues.,Sponge pieces incubated at 30°C in a lab show mortality after less than 15 hours with impacts on medicinal compound provision.,Human action,Medium term,Warm water coral reef ecosystems
Fibres and other materials,Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2. Erosion rate was positively related to water temperature and site exposure.,Increased erosion of kelp blades by storms. Increased storm frequency will lead to removal of the kelp component and reduction in overall standing biomass.,Human action,Long-term,Marine kelp forests in mid-latitude systems
Fibres and other materials,Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.","Increased erosion of kelp blades due to increased storm frequency, linked to global climate change",Greater destruction through mechanical breakup of the kelp component and reduction in overall standing biomass. Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2 . Erosion positively related to water temperature and site exposure.,Human action,Long-term,Marine kelp forests in mid-latitude systems
Fibres and other materials,Species,Storms,A,"Storms cause strong winds and increased rainfall that can subject species to biogenic habitat changes, nest destruction, invasive species introduction and saltwater intrusion, negatively impacting species survival in localised event contexts. Storm frequency and intensity is predicted to continue in alignment with current climate change trends. Species that are highly susceptible are those that cannot shelter from wind effectively, that are liable to flooding, subject to habitat displacement (e.g. sand dune burrows), and migrating species.",Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2. Erosion rate was positively related to water temperature and site exposure.,Increased erosion of kelp blades by storms. Increased storm frequency will lead to removal of the kelp component and reduction in overall standing biomass.,Human action,Long-term,Marine kelp forests in mid-latitude systems
Fibres and other materials,Species,Storms,A,"Storms cause strong winds and increased rainfall that can subject species to biogenic habitat changes, nest destruction, invasive species introduction and saltwater intrusion, negatively impacting species survival in localised event contexts. Storm frequency and intensity is predicted to continue in alignment with current climate change trends. Species that are highly susceptible are those that cannot shelter from wind effectively, that are liable to flooding, subject to habitat displacement (e.g. sand dune burrows), and migrating species.","Increased erosion of kelp blades due to increased storm frequency, linked to global climate change",Greater destruction through mechanical breakup of the kelp component and reduction in overall standing biomass. Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2 . Erosion positively related to water temperature and site exposure.,Human action,Long-term,Marine kelp forests in mid-latitude systems
Fibres and other materials,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Climate anomalies cause changes to the photosynthetic cycle and global greening patterns.,There is a quantitative link between climate anomalies such as the El Nino Southern Oscillation and weather events. There is evidence of reduced vegetation greenness during ENSO events in sub-tropical parts of the southern hemisphere impacting fibre provision.,Natural variation,Medium term,Semi-arid vegetation in the southern hemisphere
Fibres and other materials,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,"Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Fibres and other materials,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,"Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Fibres and other materials,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Climate anomalies cause changes to the photosynthetic cycle and global greening patterns.,There is a quantitative link between climate anomalies such as the El Nino Southern Oscillation and weather events. There is evidence of reduced vegetation greenness during ENSO events in sub-tropical parts of the southern hemisphere impacting fibre provision.,Natural variation,Medium term,Semi-arid vegetation in the southern hemisphere
Filtration,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Reduction in the habitats available to perform filtration and sequestration.,"Decreased ability to perform filtration and sequestration of pollutants at the ecosystem level (e.g. resulting from draining of key habitats such as wetlands, raised and blanket bogs; and from reclamation of marine habitats such as saltmarshes).",Human action,Short term,Local
Filtration,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Reduction in the number of plants available to perform filtration and sequestration.,Decreased filtration and sequestration of pollutants by plants.,Human action,Short term,Local
Filtration,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Reduction in the ability of habitats to filter or capture pollutants.,"Decreased filtration, adsorption, or accumulation of pollutants at the ecosystem level.",Human action,Short term,Local
